index;mean;std;Skewness;Kurtosis;min;Median;max;JB;P_Val;Normal at 0.05?;Source
B/P Value;1,005;7,47322161482903;0,021235866961373723;3,663485216926669;-27,0;1,12;34,93;83,38968414226792;7,801177592931093e-19;Reject;Ind_Scandanavia
B/P Growth;0,8677777777777779;6,160326582453601;-0,7199616730533155;3,3415569724833274;-25,11;0,575;17,82;82,96471935611888;9,648062218634043e-19;Reject;Ind_Scandanavia
E/P Value;0,9817901234567902;7,003490957760265;-0,13774776474020978;4,076400740749107;-29,27;1,245;31,04;103,95413923917086;2,670825282649726e-23;Reject;Ind_Scandanavia
E/P Growth;0,9320987654320986;6,359619840204596;-0,6584178843875707;2,89516901172954;-25,76;1,275;19,24;63,27208360941491;1,8223912224286272e-14;Reject;Ind_Scandanavia
CE/P Value;0,9966049382716049;6,955494915530847;0,07410840434121271;4,029981062109144;-26,2;1,165;33,44;101,23227063539088;1,0415778513420693e-22;Reject;Ind_Scandanavia
CE/P Growth;0,7853703703703704;6,366482900342926;-0,6925570201653074;2,989807433360835;-25,78;0,64;17,57;67,98158512896623;1,7297620062896698e-15;Reject;Ind_Scandanavia
D/P Value;0,8903703703703705;6,9068326858388955;-0,1707897198072411;3,888703707660425;-27,92;0,73;29,07;94,83141843867143;2,5563430306095455e-21;Reject;Ind_Scandanavia
D/P Growth;0,9145679012345679;6,763636430385768;-0,5819085700523116;2,7135909426962863;-26,08;1,35;20,06;54,38456826432025;1,5507473620172851e-12;Reject;Ind_Scandanavia
