index;mean;std;Skewness;Kurtosis;min;Median;max;JB;P_Val;Normal at 0.05?;Source
B/P Value;0,43746913580246916;6,863458132027716;-0,02718565550225431;3,908135413433209;-27,17;0,095;28,88;95,029669335471;2,315098615547302e-21;Reject;Ind_UK
B/P Growth;0,5439506172839506;4,790772232260383;-0,6498911219448017;2,1425524205980873;-19,36;0,7749999999999999;14,05;39,28878839647996;2,9413587625151094e-09;Reject;Ind_UK
E/P Value;0,5399999999999998;6,467245518477963;-0,024402461736001347;1,9577553008497892;-20,99;0,635;22,72;23,39422373079762;8,317807450882429e-06;Reject;Ind_UK
E/P Growth;0,38999999999999996;5,554791675572201;-1,1207662037706678;3,775612899569956;-26,38;1,0;13,23;121,90319392843926;3,3810981278280876e-27;Reject;Ind_UK
CE/P Value;0,4787037037037038;6,164027293147673;-0,1110321732182662;2,1901880303679606;-20,97;0,535;23,65;29,70881119713366;3,5384545088331986e-07;Reject;Ind_UK
CE/P Growth;0,45395061728395064;5,2553781217449185;-0,7547988373426615;2,210015930328619;-21,63;0,765;13,36;45,024182085700396;1,67156428748101e-10;Reject;Ind_UK
D/P Value;0,624074074074074;6,597745950080841;0,510176516497182;6,9242278837475695;-24,93;0,855;36,09;307,69737634786736;1,5288457771209477e-67;Reject;Ind_UK
D/P Growth;0,3217283950617284;6,14823850754412;-1,0288398651010775;3,20132686414078;-24,88;0,905;15,45;91,52726741686881;1,3338482047104242e-20;Reject;Ind_UK
